year,state,city,population,violent_crime,murder_and_non_negligent_man_slaughter,forcible_rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,crime_index_total,modified_crime_index_total
2000,FLORIDA,Naples,20734,,,2,16,58,,154,768,49,1,1047,1048
2000,FLORIDA,New Port Richey,16187,,1,4,16,133,,255,737,35,1,1181,1182
2000,FLORIDA,New Smyrna Beach,20037,,1,4,25,92,,166,606,64,,958,958
2000,FLORIDA,North Lauderdale,31988,,1,14,62,126,,196,715,113,7,1227,1234
2000,FLORIDA,North Miami,53500,,8,39,371,462,,1078,2725,912,17,5595,5612
2000,FLORIDA,North Miami Beach,37039,,1,15,137,170,,605,1286,337,10,2551,2561
2000,FLORIDA,North Palm Beach,13792,,,3,12,30,,109,370,49,2,573,575
2000,FLORIDA,North Port,17749,,,6,3,46,,112,395,22,4,584,588
2000,FLORIDA,Oakland Park,29855,,2,13,96,203,,377,1362,291,3,2344,2347
2000,FLORIDA,Ocala,50689,,3,28,175,518,,1020,3215,285,16,5244,5260
2000,FLORIDA,Ocoee,23098,,1,9,34,167,,254,1055,113,4,1633,1637
2000,FLORIDA,Oldsmar,11207,,,8,16,32,,102,296,26,3,480,483
2000,FLORIDA,Opa Locka,16143,,3,11,221,396,,479,1114,274,9,2498,2507
2000,FLORIDA,Orange Park,10832,,,3,8,42,,52,287,31,2,423,425
2000,FLORIDA,Orlando,190702,,21,141,1044,2720,,3423,12607,2413,45,22369,22414
2000,FLORIDA,Ormond Beach,37357,,,10,29,78,,230,897,62,,1306,1306
2000,FLORIDA,Oviedo,25221,,,12,8,65,,127,458,22,6,692,698
2000,FLORIDA,Palatka,11947,,4,8,52,160,,397,897,58,11,1576,1587
2000,FLORIDA,Palm Bay,83183,,,67,60,571,,729,2381,158,11,3966,3977
2000,FLORIDA,Palm Beach,10202,,,1,2,2,,38,211,10,,264,264
2000,FLORIDA,Palm Beach Gardens,36960,,1,6,33,53,,223,1517,192,6,2025,2031
2000,FLORIDA,Palmetto,11767,,,3,54,100,,174,330,48,3,709,712
2000,FLORIDA,Panama City,42167,,2,30,75,200,,458,1574,94,9,2433,2442
2000,FLORIDA,Parkland,13744,,1,,,2,,96,60,9,2,168,170
2000,FLORIDA,Pembroke Pines,128270,,2,25,94,281,,614,2281,556,9,3853,3862
2000,FLORIDA,Pinellas Park,46947,,,20,56,175,,564,1786,170,6,2771,2777
2000,FLORIDA,Plantation,86869,,3,5,123,114,,522,3004,550,8,4321,4329
2000,FLORIDA,Plant City,29035,,1,21,67,293,,347,1887,228,5,2844,2849
2000,FLORIDA,Pompano Beach,80743,,5,36,165,672,,736,3046,516,5,5176,5181
2000,FLORIDA,Port Orange,48072,,,3,4,26,,145,829,24,2,1031,1033
2000,FLORIDA,Port St. Lucie,86563,,3,12,20,182,,523,1599,83,13,2422,2435
2000,FLORIDA,Punta Gorda,14501,,,1,8,26,,51,232,21,1,339,340
2000,FLORIDA,Riviera Beach,31365,,10,24,210,337,,2006,1653,570,6,4810,4816
2000,FLORIDA,Rockledge,21237,,2,2,3,35,,166,441,36,1,685,686
2000,FLORIDA,Safety Harbor,18453,,1,4,8,24,,80,257,12,1,386,387
2000,FLORIDA,Sanford,39283,,1,24,118,439,,764,2360,382,,4088,4088
